SKU,Product Name,Qty,Unit
AJI05,Ajinomoto Ginisa Mix 16 g,54,pcs
AJI08,Ajinomoto Ginisa Mix 100 g,48,pcs
AJI26,Ajinomoto Crispy Fry Garlic 62 g,13,pcs
AJI25,Ajinomoto Sarsaya Oyster Sauce 30 g,24,pcs
AJI45,Ajinomoto Crispy Fry Gravy Mix 20 g,12,pcs
AJI51,Ajinomoto Crispy Fry Original 30 g,21,pcs
ALP02,Alpine Sterilized Milk 200 ml,36,pcs
AME01,American Garden Coconut Milk 400 ml,24,pcs
AND03,Andok’s Litson Sauce 340 g,24,pcs
ANG12,Angel All-Purpose Creamer 250 ml,24,pcs
ANL04C,Anlene Milk 3× Plain 30 g,12,pcs
ANL20Y,Anlene Milk Gold 990 g,1,pcs
APO14B,Apollo Petroleum Jelly 25 g,12,pcs
ARI63,Ariel Powder Fresh Garden Bloom 64 g,216,pcs
ARI32,Ariel Powder Surface Fresh 1.19 kg,12,pcs
ARI41,Ariel Liquid Power Gel Downy 60 ml,18,pcs
ARI54,Ariel Liquid Power Gel Fresh 730 g,8,pcs
ARI70,Ariel Powder Clean & Bright 66 g,216,pcs
ARI71,Ariel Powder Clean & Bright 90 g,168,pcs
ARI74,Ariel Bar Scrubber 125 g,96,pcs
ARI20O,Ariel Powder Surface Fresh Jumbo 66 g,30,pcs
AXI63H,Axion Paste Kalamansi 550 g,12,pcs
AXI66H,Axion Paste Lemon 550 g,12,pcs
BLU21,B’lue Drink Cucumber Lime 500 ml,15,pcs
BLU08,B’lue Drink Orange 500 ml,15,pcs
BLU09,B’lue Drink Calamansi 500 ml,15,pcs
BAC03B,Bactidol 60 ml,6,pcs
BAB08B,Baby Bench Cologne Jellybean 100 ml,6,pcs
BAG09,Baguio Oil 1 Gallon Plastic,6,pcs
BAG11D,Baguio Oil PET 2×1 l,6,pcs
BAG18,Baguio Oil Sachet 40 ml,288,pcs
BAG41,Baguio Oil Tipid 1.8 l,12,pcs
BIO03,Bambi Soap Bloom Pink 60 g,120,pcs
BIO04,Bambi Soap Bloom Pink 90 g,100,pcs
BIO09,Bambi Soap Clean White 60 g,120,pcs
BIO21,Bambi Soap Clean White 135 g,72,pcs
BIO18,Bambi Soap Freshen Green 90 g,100,pcs
BIO20,Bambi Soap Freshen Green 135 g,72,pcs
BAR02,Bariño Fiesta Bagoong Regular 250 g,24,pcs
BAR05,Bariño Fiesta Bagoong Spicy 500 g,12,pcs
BAY105,Baygon Multi-Insect Killer Protector 300 ml,12,pcs
BAY20,Baygon Mosquito Coil Base 12 S,60,pcs
BAY74,Baygon Mosquito Coil Violet 12 S,60,pcs
BEA14,Bear Brand Jr GUMilk 1–3 YRS 1.6 kg,6,pcs
BES41,Besuto Cracker Hot Spice 100 g,100,pcs
BES44,Besuto Cracker Onion & Garlic 100 g,100,pcs
BES47,Besuto Cracker Plain 100 g,100,pcs
BIG17,Big 250 Juice Mango 250 ml,10,pcs
BIG18,Big 250 Juice Guyabano 250 ml,10,pcs
BIG20,Big 250 Juice Grape 250 ml,10,pcs
BIG21,Big 250 Juice Pineapple 250 ml,10,pcs
BIN02,Bingo Cookie Double Chocolate 28 g,30,pcs
BIN06,Bingo Meat Loaf 150 g,48,pcs
BIN16,Bingo Corned Beef 100 g,48,pcs
BIR02F,Birch Tree Fortified Milk 300 g,12,pcs
BIR05,Birch Tree Fortified Milk 33 g,20,pcs
BIR06A,Birch Tree Fortified Choco 29 g,20,pcs
BIR08C,Birch Tree Fortified Choco 290 g,8,pcs
BLE09,Blend 45 Coffee Kindseed 20 g,24,pcs
BLE12,Blend 45 Coffee Malunggay 52 g,24,pcs
BON102,Bonna Infant Milk 0–6 MOS 1.2 kg,4,pcs
BON104,Bonna Follow-on Milk 6–12 MOS 1.2 kg,4,pcs
BON105,Bonna Follow-on Milk 6–12 MOS 2.4 kg,3,pcs
BON21,Bonakid GUMilk 1–3 YRS 350 g,18,pcs
BON38,Bonakid Pre-School 3+ 350 g,18,pcs
BON99,Bonakid Pre-School 3+ 2.4 kg,3,pcs
CLO29A,C-UP Toothpaste Red Hot 120 g,48,pcs
CLO42A,C-UP Toothpaste Green Mint 175 g,36,pcs
C2C02,C2 Green Tea Lemon 335 ml,24,pcs
C2C21,C2 Green Tea Apple 1 l,12,pcs
C2C06,C2 Green Tea Plain 455 ml,24,pcs
CAL40,Calypso Microwave Container 500 ml,30,pcs
CAL70,Calypso Supercups 8 oz,40,pcs
CAL02B,Calypso Plastic HD 12×18,10,pcs
CAL25B,Calypso Plastic HD 10×14,10,pcs
CAL27B,Calypso Stripey Straw 100 g,25,pcs
CAL64B,Calypso Ice Bag 4×12,20,pcs
CAL71B,Calypso Superbowl,20,pcs
CAR53,Care Adult Diaper Pants L,10,pcs
CAR54,Care Adult Diaper Pants XL,10,pcs
CAR200,Carefree Liner Breathable,48,pcs
CAR08,Caress Adult Diaper Basic M,60,pcs
CAR34,Carlo Rossi Moscato 750 ml,12,pcs
CAR39,Carlo Rossi Red Moscato 750 ml,12,pcs
CEN05,Century Tuna Flakes in Oil 95 g,48,pcs
CEN41I,Century Tuna Flakes in Oil 155 g,50,pcs
CEN43,Century Tuna Flakes Hot & Spicy 155 g,50,pcs
CEN54,Century Tuna Flakes Lite 180 g,48,pcs
CER02,Cerelac Mixed Fruits & Soya 120 g,40,pcs
CER06,Cerelac Rice & Soya 120 g,40,pcs
CHA171,Champion Bar Blue Original 145 g,96,pcs
CHA170,Champion Bar Fabric Conditioner 390 g,36,pcs
CHA70C,Champion Powder Fabric Conditioner 35 g,42,pcs
CHA03,Charmee Pantiliner Unscented,24,pcs
CHA103,Charmee Menstrual Pants M,36,pcs
CHA178,Charmee Pantiliner Lavender,48,pcs
